id,gender,ethnicity,age_group,timestamp,version,decision_log
user_49,Female,Hispanic,18-25,2025-05-08T19:41:35.643841,v3.8,manual_review
user_50,Female,Black,46-60,2024-08-12T19:41:35.643844,v2.3,approved
user_51,Female,Black,60+,2024-08-05T19:41:35.643847,v1.1,rejected
user_52,Male,Other,60+,2025-07-21T19:41:35.643851,v3.4,manual_review
user_53,Female,White,36-45,2025-03-28T19:41:35.643854,v2.2,rejected
user_54,Male,Other,18-25,2024-12-01T19:41:35.643857,v1.9,manual_review
user_55,Female,Hispanic,18-25,2024-08-01T19:41:35.643860,v3.7,rejected
user_56,Non-binary,Hispanic,36-45,2025-07-10T19:41:35.643864,v3.0,approved
user_57,Non-binary,Hispanic,36-45,2025-02-11T19:41:35.643867,v1.6,approved
user_58,Male,Hispanic,36-45,2025-07-12T19:41:35.643870,v1.3,rejected
user_59,Non-binary,Hispanic,46-60,2025-03-13T19:41:35.643873,v3.9,manual_review
user_60,Non-binary,Asian,18-25,2025-06-19T19:41:35.643876,v3.6,approved
user_61,Female,Black,46-60,2024-12-17T19:41:35.643879,v3.4,approved
user_62,Male,Hispanic,36-45,2025-01-10T19:41:35.643883,v1.0,approved
user_63,Female,White,18-25,2024-07-29T19:41:35.643886,v1.1,rejected
user_64,Female,White,46-60,2025-01-02T19:41:35.643889,v1.8,rejected
user_65,Female,White,46-60,2025-01-27T19:41:35.643893,v3.7,manual_review
user_66,Female,White,36-45,2024-11-27T19:41:35.643896,v3.1,manual_review
user_67,Female,Asian,18-25,2025-07-02T19:41:35.643899,v2.6,manual_review
user_68,Female,White,36-45,2025-06-23T19:41:35.643902,v1.1,rejected
user_69,Female,Hispanic,18-25,2025-05-10T19:41:35.643906,v1.8,rejected
user_70,Male,Other,60+,2025-05-31T19:41:35.643909,v3.8,manual_review
user_71,Non-binary,White,26-35,2025-02-01T19:41:35.643913,v1.8,manual_review
user_72,Female,Asian,26-35,2025-06-06T19:41:35.643916,v1.0,rejected
user_73,Female,Asian,26-35,2024-09-09T19:41:35.643919,v1.6,manual_review
user_74,Female,White,36-45,2024-12-25T19:41:35.643923,v1.5,approved
user_75,Female,Other,60+,2025-02-03T19:41:35.643926,v3.2,rejected
user_76,Female,White,18-25,2024-10-19T19:41:35.643929,v3.9,manual_review
user_77,Female,Asian,46-60,2025-02-06T19:41:35.643937,v3.7,rejected
user_78,Non-binary,Black,18-25,2024-11-18T19:41:35.643941,v2.7,approved
user_79,Non-binary,Hispanic,46-60,2025-04-16T19:41:35.643944,v3.3,rejected
user_80,Female,Asian,18-25,2024-07-26T19:41:35.643947,v2.7,rejected
user_81,Non-binary,White,60+,2024-10-31T19:41:35.643951,v1.9,rejected
user_82,Male,Hispanic,46-60,2025-05-07T19:41:35.643954,v2.5,rejected
user_83,Female,White,36-45,2024-07-29T19:41:35.643957,v2.2,approved
user_84,Male,White,18-25,2024-12-20T19:41:35.643960,v2.1,rejected
user_85,Male,Black,18-25,2024-08-07T19:41:35.643964,v1.1,rejected
user_86,Female,Hispanic,46-60,2024-12-08T19:41:35.643967,v3.1,manual_review
user_87,Non-binary,Hispanic,36-45,2024-12-19T19:41:35.643970,v1.1,rejected
user_88,Male,Black,36-45,2025-03-10T19:41:35.643973,v2.3,manual_review
user_89,Female,Asian,60+,2025-05-22T19:41:35.643976,v3.0,approved
user_90,Male,White,36-45,2025-06-27T19:41:35.643980,v3.2,approved
user_91,Male,Other,36-45,2025-01-28T19:41:35.643983,v2.1,approved
user_92,Male,White,36-45,2024-07-23T19:41:35.643986,v3.7,approved
user_93,Male,White,26-35,2024-08-02T19:41:35.643989,v2.9,manual_review
user_94,Non-binary,Asian,60+,2024-12-06T19:41:35.643993,v2.9,rejected
user_95,Male,White,18-25,2025-04-27T19:41:35.643997,v2.4,approved
user_96,Male,Black,46-60,2025-03-20T19:41:35.644002,v3.2,rejected
user_97,Male,Black,18-25,2024-12-12T19:41:35.644005,v2.2,manual_review
user_98,Non-binary,Hispanic,60+,2025-06-06T19:41:35.644009,v3.1,manual_review
user_99,Male,Other,46-60,2025-03-15T19:41:35.644012,v2.7,manual_review
user_100,Male,White,60+,2025-07-15T19:41:35.644015,v2.5,approved
